Building count,Damage_Scenario,Median_Household Income($),%change in housing unit_Base,%change in housing unit_Year1,%change in housing unit_Year2,%change in housing unit_Year5,%change in housing unit_Year10
1000,100,99229.04694,0.137882354,1.549046613,0.513275678,0.148041958,0.072954304
1000,100,136457.3666,0.053962487,0.606504896,0.200901682,0.057938791,0.028551282
1000,100,43110.3731,0.567009915,6.356144129,2.109497467,0.608779358,0.300038352
0,0,75905.25017,0,0,0,0,0
1000,100,61143.57192,0.359978289,4.039603739,1.339636628,0.386499455,0.190476434
1000,100,106635.3392,0.114408341,1.285480996,0.425905808,0.122838412,0.060533742
0,0,1261.627915,0,0,0,0,0
1000,100,155559.6784,0.033345445,0.374821688,0.124148169,0.035802579,0.017642822
1000,100,70247.76423,0.286189728,3.212775231,1.065144091,0.307275405,0.151429832
0,0,70478.294,0,0,0,0,0
1000,100,67099.27511,0.309818018,3.477606987,1.153047038,0.332644273,0.163933037
0,0,46377.42856,0,0,0,0,0
1000,100,45420.26031,0.534955553,5.997798558,1.990329573,0.574364352,0.283074363
1000,100,12833.75945,1.215636391,13.58221814,4.518652541,1.305156465,0.643363104
1000,100,22759.99004,0.946732433,10.59227012,3.520394166,1.016460354,0.501016708
1000,100,45003.54107,0.540601369,6.060923383,2.01131967,0.58042596,0.286062255
1000,100,39887.71024,0.614964112,6.892019861,2.287756467,0.660264989,0.325417417
1000,100,65549.69726,0.322153544,3.615841222,1.198935933,0.345888479,0.170460591
1000,100,9073.179826,1.336392619,14.92224766,4.966701257,1.434798858,0.707292216
1000,100,74709.87915,0.255756264,2.871575075,0.951915921,0.274599995,0.135325788
1000,100,84404.23106,0.200327784,2.249874117,0.745669305,0.215088069,0.10599608
1000,80,42801.44179,0.4495381,5.042317432,1.672723965,0.482655934,0.237870513
1000,100,13724.56352,1.18866752,13.28272006,4.418568305,1.27620286,0.629086109
1000,100,113103.8773,0.097200459,1.092231102,0.361854822,0.10436265,0.051428799
0,0,96620.85743,0,0,0,0,0
0,0,25404.60305,0,0,0,0,0
1000,100,51435.11184,0.459733524,5.156407459,1.710637241,0.493602278,0.243265948
0,0,50066.54937,0,0,0,0,0
1000,100,11769.96075,1.24864496,13.94867715,4.641140723,1.340594171,0.660837688
1000,100,55515.81253,0.414816326,4.653680595,1.543597741,0.445376748,0.21949589
1000,100,90581.85952,0.171450252,1.925836112,0.638205113,0.184083017,0.090715979
0,0,33069.98995,0,0,0,0,0
1000,100,55014.211,0.420091924,4.712738645,1.56321786,0.451040924,0.222287696
0,0,95722.77008,0,0,0,0,0
0,0,40338.28431,0,0,0,0,0
1000,100,19711.81201,1.022282145,11.43313624,3.800932846,1.097571334,0.541007713
1000,100,24083.06296,0.915701645,10.24671071,3.405150868,0.983145237,0.48459148
1000,100,25726.10723,0.878577789,9.833155146,3.267266127,0.943288412,0.464941383
1000,100,96247.834,0.148639216,1.669803229,0.553310667,0.159591356,0.078646018
1000,100,47198.50336,0.511518453,5.735713749,1.903191333,0.549201176,0.270671013
1000,100,16551.55323,1.106977885,12.37502814,4.115364941,1.18850105,0.58584171
1000,80,27653.01564,0.658428856,7.377500495,2.449306839,0.7069304,0.348421
1000,100,65310.66523,0.324099612,3.637647625,1.206175278,0.3479779,0.171490389
1000,100,25576.09274,0.881903952,9.870214614,3.279620669,0.946859444,0.466701946
1000,100,18141.98252,1.063511961,11.89174995,3.954007176,1.141835915,0.562832642
1000,100,13094.17841,1.207689628,13.4939753,4.489162055,1.296624878,0.639156164
1000,100,51634.00272,0.457435607,5.130694077,1.70209217,0.491135114,0.242049884
1000,100,76384.74859,0.245187561,2.753060815,0.912592704,0.263252708,0.129733352
1000,100,17406.1097,1.083406934,12.11297982,4.027865293,1.163195231,0.573364162
