Height,Temp
232.8092,-1.339355
305.0344,2.059448
403.9293,3.823822
529.9483,3.983032
688.2294,4.005676
889.0278,3.988007
1134.521,4.205414
1496.485,5.131256
1964.513,8.504913
2454.394,11.51706
2968.783,13.68463
3725.146,17.3717
4710.718,21.61044
5698.735,26.49811
6691.322,31.47577
7687.953,36.56348
8686.978,40.76477
9685.976,43.79733
10682.31,45.78082
11674.54,47.30765
12663.45,49.26486
13652.82,52.76151
14631.78,58.99124
15590.56,69.32321
16536.28,84.40073
17484.49,107.2166
18446.23,134.3254
19423.88,162.351
20414.06,189.6592
20414.06,189.6592
