,Date,Temp in C ,Humidity (%),Dew Point (Celcius * 10),Pressure (mBar),Mean wind speed (knots * 10),Average wind bearing (degrees),Sunshine (hours * 100),Rainfall (mm * 1000),Max wind speed (knots * 10),Unnamed: 10,Unnamed: 11,Unnamed: 12
0,1995-07-01 00:00:00,14.0,80,106,1018,74.0,0.0,0,0,74.0,,,
1,1995-07-01 00:30:00,13.6,84,110,1018,75.0,0.0,0,0,75.0,,10.0,10.0
2,1995-07-01 01:00:00,13.6,84,110,1018,66.0,45.0,0,0,66.0,,,
3,1995-07-01 01:30:00,13.6,84,110,1018,64.0,0.0,0,0,64.0,,,
4,1995-07-01 02:00:00,13.6,84,110,1018,55.0,45.0,0,0,55.0,,,
5,1995-07-01 02:30:00,13.6,80,102,1018,76.0,0.0,0,0,76.0,,,
6,1995-07-01 03:00:00,13.6,80,102,1018,55.0,45.0,0,0,55.0,,,
7,1995-07-01 03:30:00,13.1,79,96,1019,57.0,45.0,1,0,57.0,,,
8,1995-07-01 04:00:00,13.1,79,96,1018,43.0,45.0,0,0,43.0,,,
9,1995-07-01 04:30:00,13.6,80,102,1019,39.0,45.0,0,0,39.0,,,
10,1995-07-01 05:00:00,13.6,74,91,1019,49.0,45.0,0,0,49.0,,,
11,1995-07-01 05:30:00,13.6,80,102,1019,36.0,45.0,0,0,36.0,,,
12,1995-07-01 06:00:00,13.6,80,102,1019,20.0,45.0,0,0,20.0,,,
13,1995-07-01 06:30:00,13.6,84,110,1019,31.0,45.0,0,0,31.0,,,
14,1995-07-01 07:00:00,14.0,80,106,1020,23.0,45.0,0,0,23.0,,,
15,1995-07-01 07:30:00,14.0,80,106,1020,28.0,45.0,0,0,28.0,,,
16,1995-07-01 08:00:00,14.5,75,101,1020,46.0,45.0,0,0,46.0,,,
17,1995-07-01 08:30:00,14.5,75,101,1019,38.0,45.0,0,0,38.0,,,
18,1995-07-01 09:00:00,15.0,75,107,1020,28.0,45.0,0,0,28.0,,,
19,1995-07-01 09:30:00,15.4,72,103,1020,26.0,45.0,0,0,26.0,,,
20,1995-07-01 10:00:00,15.4,76,111,1020,33.0,45.0,0,0,33.0,,,
21,1995-07-01 10:30:00,16.3,68,103,1019,33.0,45.0,0,0,33.0,,,
22,1995-07-01 11:00:00,17.2,65,105,1019,27.0,45.0,0,0,27.0,,,
23,1995-07-01 11:30:00,18.6,62,111,1019,25.0,45.0,0,0,25.0,,,
24,1995-07-01 12:00:00,19.0,63,118,1019,15.0,45.0,0,0,15.0,,,
25,1995-07-01 12:30:00,20.4,64,133,1019,8.0,45.0,0,0,8.0,,,
26,1995-07-01 13:00:00,21.3,57,126,1019,13.0,180.0,0,0,13.0,,,
27,1995-07-01 13:30:00,22.1,59,138,1018,14.0,180.0,0,0,14.0,,,
28,1995-07-01 14:00:00,22.1,59,138,1018,31.0,45.0,0,0,31.0,,,
29,1995-07-01 14:30:00,22.6,56,134,1018,15.0,180.0,1,0,15.0,,,
30,1995-07-01 15:00:00,21.7,59,133,1018,14.0,45.0,15,0,14.0,,,
31,1995-07-01 15:30:00,21.7,59,133,1018,18.0,45.0,0,0,18.0,,,
32,1995-07-01 16:00:00,22.1,52,119,1017,18.0,45.0,19,0,18.0,,,
33,1995-07-01 16:30:00,22.6,53,125,1017,30.0,45.0,35,0,30.0,,,
34,1995-07-01 17:00:00,21.7,55,122,1017,15.0,45.0,33,0,15.0,,,
35,1995-07-01 17:30:00,22.1,56,130,1017,8.0,45.0,0,0,8.0,,,
36,1995-07-01 18:00:00,21.3,54,117,1017,17.0,45.0,11,0,17.0,,,
37,1995-07-01 18:30:00,20.8,58,122,1017,10.0,45.0,14,0,10.0,,,
38,1995-07-01 19:00:00,19.0,59,108,1017,7.0,135.0,0,0,7.0,,,
39,1995-07-01 19:30:00,18.1,58,97,1017,5.0,135.0,0,0,5.0,,,
40,1995-07-01 20:00:00,17.2,65,105,1017,4.0,45.0,0,0,4.0,,,
41,1995-07-01 20:30:00,16.3,68,103,1016,2.0,0.0,0,0,2.0,,,
42,1995-07-01 21:00:00,15.4,67,92,1017,2.0,45.0,0,0,2.0,,,
43,1995-07-01 21:30:00,15.0,66,88,1017,3.0,45.0,0,0,3.0,,,
44,1995-07-01 22:00:00,14.0,70,87,1017,9.0,45.0,0,0,9.0,,,
45,1995-07-01 22:30:00,13.6,70,82,1016,18.0,45.0,0,0,18.0,,,
46,1995-07-01 22:59:00,13.1,69,76,1016,27.0,45.0,0,0,27.0,,,
47,1995-07-01 23:00:00,13.1,69,76,1016,27.0,45.0,0,0,27.0,,,
48,1995-07-01 23:30:00,13.1,69,76,1016,33.0,45.0,0,0,33.0,,,
49,1995-07-02 00:00:00,12.2,74,77,1016,34.0,45.0,0,0,34.0,,,
50,1995-07-02 00:30:00,11.8,73,70,1016,34.0,0.0,0,0,34.0,,,
51,1995-07-02 01:00:00,11.8,73,70,1015,41.0,45.0,0,0,41.0,,,
52,1995-07-02 01:30:00,11.3,74,69,1015,27.0,45.0,0,0,27.0,,,
53,1995-07-02 02:00:00,11.3,74,69,1015,13.0,45.0,0,0,13.0,,,
54,1995-07-02 02:30:00,10.9,79,74,1014,15.0,45.0,0,0,15.0,,,
55,1995-07-02 03:00:00,10.9,79,74,1014,12.0,0.0,0,0,12.0,,,
56,1995-07-02 03:30:00,10.4,85,79,1014,18.0,0.0,0,0,18.0,,,
57,1995-07-02 04:00:00,10.0,84,75,1013,29.0,0.0,0,0,29.0,,,
58,1995-07-02 04:30:00,10.0,84,75,1013,27.0,0.0,0,0,27.0,,,
59,1995-07-02 05:00:00,10.4,80,70,1013,24.0,0.0,0,0,24.0,,,
