Date,Temp in C 
7/1/1995 0:00,14
7/1/1995 0:30,13.6
7/1/1995 1:00,13.6
7/1/1995 1:30,13.6
7/1/1995 2:00,13.6
7/1/1995 2:30,13.6
7/1/1995 3:00,13.6
7/1/1995 3:30,13.1
7/1/1995 4:00,13.1
7/1/1995 4:30,13.6
7/1/1995 5:00,13.6
7/1/1995 5:30,13.6
7/1/1995 6:00,13.6
7/1/1995 6:30,13.6
7/1/1995 7:00,14
7/1/1995 7:30,14
7/1/1995 8:00,14.5
7/1/1995 8:30,14.5
7/1/1995 9:00,15
7/1/1995 9:30,15.4
7/1/1995 10:00,15.4
7/1/1995 10:30,16.3
7/1/1995 11:00,17.2
7/1/1995 11:30,18.6
7/1/1995 12:00,19
7/1/1995 12:30,20.4
7/1/1995 13:00,21.3
7/1/1995 13:30,22.1
7/1/1995 14:00,22.1
7/1/1995 14:30,22.6
7/1/1995 15:00,21.7
7/1/1995 15:30,21.7
7/1/1995 16:00,22.1
7/1/1995 16:30,22.6
7/1/1995 17:00,21.7
7/1/1995 17:30,22.1
7/1/1995 18:00,21.3
7/1/1995 18:30,20.8
7/1/1995 19:00,19
7/1/1995 19:30,18.1
7/1/1995 20:00,17.2
7/1/1995 20:30,16.3
7/1/1995 21:00,15.4
7/1/1995 21:30,15
7/1/1995 22:00,14
7/1/1995 22:30,13.6
7/1/1995 22:59,13.1
7/1/1995 23:00,13.1
7/1/1995 23:30,13.1
7/2/1995 0:00,12.2
7/2/1995 0:30,11.8
7/2/1995 1:00,11.8
7/2/1995 1:30,11.3
7/2/1995 2:00,11.3
7/2/1995 2:30,10.9
7/2/1995 3:00,10.9
7/2/1995 3:30,10.4
7/2/1995 4:00,10
7/2/1995 4:30,10
7/2/1995 5:00,10.4
7/2/1995 5:30,10.4
7/2/1995 6:00,11.3
7/2/1995 6:30,12.2
7/2/1995 7:00,12.7
7/2/1995 7:30,13.6
7/2/1995 8:00,14.5
7/2/1995 8:30,15.4
7/2/1995 9:00,16.8
7/2/1995 9:30,17.7
7/2/1995 10:00,18.1
7/2/1995 10:30,19.5
7/2/1995 11:00,20
7/2/1995 11:30,20.8
7/2/1995 12:00,21.7
7/2/1995 12:30,22.6
7/2/1995 13:00,23.9
7/2/1995 13:30,23.4
7/2/1995 14:00,23
7/2/1995 14:30,22.6
7/2/1995 15:00,21.7
7/2/1995 15:30,20.4
7/2/1995 16:00,17.2
7/2/1995 16:30,16.3
7/2/1995 17:00,16.3
7/2/1995 17:30,15.9
7/2/1995 18:00,15.4
7/2/1995 18:30,15.4
7/2/1995 19:00,15.4
7/2/1995 19:30,15
7/2/1995 20:00,15
7/2/1995 20:30,14
7/2/1995 21:00,13.1
7/2/1995 21:30,13.1
7/2/1995 22:00,12.7
7/2/1995 22:30,12.7
7/2/1995 22:59,12.7
7/2/1995 23:00,12.7
7/2/1995 23:30,12.7
7/3/1995 0:00,12.2
7/3/1995 0:30,12.2
7/3/1995 1:00,12.2
7/3/1995 1:30,12.2
7/3/1995 2:00,12.2
7/3/1995 2:30,11.8
7/3/1995 3:00,11.8
7/3/1995 3:30,11.8
7/3/1995 4:00,11.3
7/3/1995 4:30,11.8
7/3/1995 5:00,11.8
7/3/1995 5:30,12.2
7/3/1995 6:00,12.2
7/3/1995 6:30,12.7
7/3/1995 7:00,13.1
7/3/1995 7:30,14
7/3/1995 8:00,15
7/3/1995 8:30,15
7/3/1995 9:00,15.9
7/3/1995 9:30,16.3
7/3/1995 10:00,16.3
7/3/1995 10:30,16.3
7/3/1995 11:00,15.4
7/3/1995 11:30,15.4
7/3/1995 12:00,15.9
7/3/1995 12:30,16.3
7/3/1995 13:00,15.9
7/3/1995 13:30,15.4
7/3/1995 14:00,15.4
7/3/1995 14:30,15.9
7/3/1995 15:00,16.3
7/3/1995 15:30,16.3
7/3/1995 16:00,16.3
7/3/1995 16:30,16.8
7/3/1995 17:00,18.6
7/3/1995 17:30,19
7/3/1995 18:00,19
7/3/1995 18:30,18.6
7/3/1995 19:00,17.7
7/3/1995 19:30,16.8
7/3/1995 20:00,16.3
7/3/1995 20:30,15.4
7/3/1995 21:00,15
7/3/1995 21:30,14
7/3/1995 22:00,13.1
7/3/1995 22:30,12.7
7/3/1995 22:59,12.7
7/3/1995 23:00,12.7
7/3/1995 23:30,12.7
7/4/1995 0:00,12.7
7/4/1995 0:30,12.7
7/4/1995 1:00,12.7
7/4/1995 1:30,12.7
7/4/1995 2:00,12.7
7/4/1995 2:30,12.7
7/4/1995 3:00,12.2
7/4/1995 3:30,12.7
7/4/1995 4:00,12.2
7/4/1995 4:30,11.8
7/4/1995 5:00,11.8
7/4/1995 5:30,12.2
7/4/1995 6:00,12.2
7/4/1995 6:30,12.7
7/4/1995 7:00,12.7
7/4/1995 7:30,13.6
7/4/1995 8:00,14.5
7/4/1995 8:30,15
7/4/1995 9:00,15.9
7/4/1995 9:30,16.8
7/4/1995 10:00,17.2
7/4/1995 10:30,18.1
7/4/1995 11:00,18.1
7/4/1995 11:30,20
7/4/1995 12:00,20
7/4/1995 12:30,20
7/4/1995 13:00,20
7/4/1995 13:30,20
7/4/1995 14:00,20.4
7/4/1995 14:30,20
7/4/1995 15:00,20
7/4/1995 15:30,19.5
7/4/1995 16:00,19
7/4/1995 16:30,18.6
7/4/1995 17:00,18.6
7/4/1995 17:30,18.6
7/4/1995 18:00,18.1
7/4/1995 18:30,18.1
7/4/1995 19:00,17.7
7/4/1995 19:30,17.7
7/4/1995 20:00,17.2
7/4/1995 20:30,16.8
7/4/1995 21:00,16.8
7/4/1995 21:30,16.8
7/4/1995 22:00,16.3
7/4/1995 22:30,15.9
7/4/1995 22:59,15.4
7/4/1995 23:00,15.4
7/4/1995 23:30,14.5
7/5/1995 0:00,14
7/5/1995 0:30,13.6
7/5/1995 1:00,13.1
7/5/1995 1:30,12.7
7/5/1995 2:00,12.7
7/5/1995 2:30,12.7
7/5/1995 3:00,11.8
7/5/1995 3:30,11.3
7/5/1995 4:00,11.3
7/5/1995 4:30,10.9
7/5/1995 5:00,10.9
7/5/1995 5:30,10.9
7/5/1995 6:00,11.3
7/5/1995 6:30,12.2
7/5/1995 7:00,13.1
7/5/1995 7:30,14.5
7/5/1995 8:00,15
7/5/1995 8:30,16.3
7/5/1995 9:00,18.1
7/5/1995 9:30,18.6
7/5/1995 10:00,19.5
7/5/1995 10:30,20
7/5/1995 11:00,20.4
7/5/1995 11:30,20.4
7/5/1995 12:00,21.3
7/5/1995 12:30,21.7
7/5/1995 13:00,22.1
7/5/1995 13:30,22.1
7/5/1995 14:00,22.6
7/5/1995 14:30,23
7/5/1995 15:00,23
7/5/1995 15:30,23
7/5/1995 16:00,23.4
